Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,06-03-2024 11:05:59,06-03-2024 11:06:05,6.148s,PASSED
,,,,,,,
Test Cases/TestOne,,,,06-03-2024 11:05:59,06-03-2024 11:06:03,3.746s,PASSED
"sendRequest(findTestObject(""CountryInfoSOAPService/GetCountryListByNames""))",,,,06-03-2024 11:05:59,06-03-2024 11:06:01,2.003s,PASSED
"sendRequestAndVerify(findTestObject(""CountryInfoSOAPService/GetCountryListByNames""))",,,,06-03-2024 11:06:01,06-03-2024 11:06:03,1.532s,PASSED
,,,,,,,
Test Cases/TestTwo_APIChaining,,,,06-03-2024 11:06:03,06-03-2024 11:06:05,2.250s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCountryListByNames""))",,,,06-03-2024 11:06:03,06-03-2024 11:06:03,0.655s,PASSED
xml1 = responseBodyContent,,,,06-03-2024 11:06:03,06-03-2024 11:06:04,0.237s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,,06-03-2024 11:06:04,06-03-2024 11:06:04,0.101s,PASSED
countryCode = sISOCode.text(),,,,06-03-2024 11:06:04,06-03-2024 11:06:04,0.041s,PASSED
countryCode = countryCode,,,,06-03-2024 11:06:04,06-03-2024 11:06:04,0.174s,PASSED
"println("".. value for Global Variable is : "" + countryCode)",,,,06-03-2024 11:06:04,06-03-2024 11:06:04,0.019s,PASSED
"sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital""))",,,,06-03-2024 11:06:04,06-03-2024 11:06:05,0.782s,PASSED
