Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestingDemoSuite,,,,06-03-2024 13:48:23,06-03-2024 13:48:55,31.394s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:48:30,06-03-2024 13:48:42,11.637s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:48:30,06-03-2024 13:48:30,0.000s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:48:30,06-03-2024 13:48:30,0.000s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:48:30,06-03-2024 13:48:30,0.001s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:30,06-03-2024 13:48:32,1.938s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:48:32,06-03-2024 13:48:32,0.043s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:32,06-03-2024 13:48:41,9.594s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:48:41,06-03-2024 13:48:42,0.043s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:48:46,06-03-2024 13:48:47,1.170s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:48:46,06-03-2024 13:48:46,0.000s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:48:46,06-03-2024 13:48:46,0.000s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:48:46,06-03-2024 13:48:46,0.000s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:46,06-03-2024 13:48:46,0.543s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:48:46,06-03-2024 13:48:46,0.049s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:46,06-03-2024 13:48:47,0.527s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:48:47,06-03-2024 13:48:47,0.036s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:48:54,06-03-2024 13:48:55,1.147s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:48:54,06-03-2024 13:48:54,0.000s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:48:54,06-03-2024 13:48:54,0.001s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:48:54,06-03-2024 13:48:54,0.000s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:54,06-03-2024 13:48:54,0.523s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:48:54,06-03-2024 13:48:54,0.050s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:48:54,06-03-2024 13:48:55,0.519s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:48:55,06-03-2024 13:48:55,0.041s,FAILED
