Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestingDemoSuite,,,,06-03-2024 13:43:11,06-03-2024 13:43:44,32.848s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:43:18,06-03-2024 13:43:23,4.516s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:43:18,06-03-2024 13:43:18,0.001s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:43:18,06-03-2024 13:43:18,0.001s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:43:18,06-03-2024 13:43:18,0.001s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:18,06-03-2024 13:43:22,3.531s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:43:22,06-03-2024 13:43:22,0.037s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:22,06-03-2024 13:43:23,0.894s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:43:23,06-03-2024 13:43:23,0.035s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:43:33,06-03-2024 13:43:35,1.465s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:43:33,06-03-2024 13:43:33,0.000s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:43:33,06-03-2024 13:43:33,0.001s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:43:33,06-03-2024 13:43:33,0.000s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:33,06-03-2024 13:43:34,0.663s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:43:34,06-03-2024 13:43:34,0.043s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:34,06-03-2024 13:43:35,0.705s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:43:35,06-03-2024 13:43:35,0.038s,FAILED
,,,,,,,
Test Cases/DataDrivenTestDemo,,,,06-03-2024 13:43:42,06-03-2024 13:43:44,1.338s,FAILED
"println(""...value of country code is : "" + CountryCode)",,,,06-03-2024 13:43:42,06-03-2024 13:43:42,0.000s,PASSED
"println(""...value of capital is : "" + Capital)",,,,06-03-2024 13:43:42,06-03-2024 13:43:42,0.001s,PASSED
"println(""...value of currency is : "" + Currency1)",,,,06-03-2024 13:43:42,06-03-2024 13:43:42,0.000s,PASSED
"response1 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCapital"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:42,06-03-2024 13:43:43,0.654s,PASSED
"verifyElementText(response1, ""CapitalCityResponse.CapitalCityResult"", Capital)",,,,06-03-2024 13:43:43,06-03-2024 13:43:43,0.034s,PASSED
"response2 = sendRequest(findTestObject(""CountryInfoSOAPService/GetCurrency"", [""CountryISOCode"":CountryCode]))",,,,06-03-2024 13:43:43,06-03-2024 13:43:44,0.584s,PASSED
"verifyElementText(response2, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", Currency1)",,,,06-03-2024 13:43:44,06-03-2024 13:43:44,0.048s,FAILED
